INFO  2017-09-30 05:47:51,903 Cards need storing in DB: 31634                                                            =>[main] CardScanner.scan 
DEBUG 2017-09-30 07:11:02,474 Sim Prio .....[5]#2 <3290> - (Pass)                                                        =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:02,474 Sim Prio ..[6]#1 <3290> - (Cast Silvercoat Lion)                                           =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
INFO  2017-09-30 07:11:02,474 Sim Prio [6] #1 <3290> (Cast Silvercoat Lion) -> [5][Pass]<3290>                           =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
INFO  2017-09-30 07:11:02,474 Sim Prio [6] -- Saved best node yet <3290> [Cast Silvercoat Lion]                          =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:02,475 choose 3                                                                                   =>[pool-1-thread-1] ComputerPlayer.choose 
DEBUG 2017-09-30 07:11:02,479 Player..: 1865 - Plains[405] Plains[405] Plains[405] Fluctuator[650]                       =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,479 Opponent: 0 -                                                                              =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,480 1870 total Score (life:0 permanents:1865 hand:5)                                           =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,488 ArtificialScoringSystem has been instantiated.                                             =>[pool-1-thread-1] ArtificialScoringSystem.<clinit> 
DEBUG 2017-09-30 07:11:02,491 Player..: 2290 - Plains[405] Plains[405] Plains[405] Fluctuator[650] Mountain[425]         =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,491 Opponent: 0 -                                                                              =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,492 2295 total Score (life:0 permanents:2290 hand:5)                                           =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,494 Player..: 2290 - Plains[405] Plains[405] Plains[405] Fluctuator[650] Mountain[425]         =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,494 Opponent: 0 -                                                                              =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,494 2295 total Score (life:0 permanents:2290 hand:5)                                           =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,494 Sim Prio ........[4]#1 <2295> - (Pass)                                                     =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:02,494 Sim Prio .....[5]#1 <2295> - (Play Mountain)                                               =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:02,495 Player..: 1865 - Plains[405] Plains[405] Plains[405] Fluctuator[650]                       =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,496 Opponent: 0 -                                                                              =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,496 1875 total Score (life:0 permanents:1865 hand:10)                                          =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,496 Sim Prio .....[5]#2 <1875> - (Pass)                                                        =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:02,496 Sim Prio ..[6]#2 <2295> - (Cycling {3} <i>({3},Discard this card: Draw a card.)</i>)       =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
INFO  2017-09-30 07:11:02,496 Sim Prio [6] #2 <2295> (Cycling {3} <i>({3},Discard this card: Draw a card.)</i>)          =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:02,497 Player..: 1925 - Plains[425] Plains[425] Plains[425] Fluctuator[650]                       =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,497 Opponent: 0 -                                                                              =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,497 1935 total Score (life:0 permanents:1925 hand:10)                                          =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,498 Sim Prio ..[6]#3 <1935> - (Pass)                                                           =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
INFO  2017-09-30 07:11:02,498 Sim Prio [6] #3 <1935> (Pass)                                                              =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
INFO  2017-09-30 07:11:02,500 Sim Prio [6] -- End for Max Depth  -- Nodes calculated: 8                                  =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
INFO  2017-09-30 07:11:02,501 ===> Act [PlayerA] Action: Cast Silvercoat Lion                                            =>[main] ComputerPlayer6.act 
DEBUG 2017-09-30 07:11:02,508 Priority -- Step: Precombat Main            ActivePlayer-PlayerA PriorityPlayer-PlayerA    =>[main] ComputerPlayer7.priorityPlay 
INFO  2017-09-30 07:11:02,509 [PlayerA], life = 20                                                                       =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:02,509 -> Hand: [Akroma's Vengeance;]                                                             =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:02,509 -> Permanents: [Plains(tapped);Plains(tapped);Plains;Fluctuator;Silvercoat Lion;]          =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:02,509 [PlayerB], life = 20                                                                       =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:02,509 -> Hand: []                                                                                =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:02,510 -> Permanents: []                                                                          =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:02,510 Sim Calculate pre combat actions -----------------------------------------------------     =>[main] ComputerPlayer7.priorityPlay 
INFO  2017-09-30 07:11:02,510 simulating -- continuing previous action chain                                             =>[main] ComputerPlayer6.getNextAction 
DEBUG 2017-09-30 07:11:02,511 Next Action exists!                                                                        =>[main] ComputerPlayer7.calculatePreCombatActions 
INFO  2017-09-30 07:11:02,511 ===> Act [PlayerA] Action: Pass                                                            =>[main] ComputerPlayer6.act 
DEBUG 2017-09-30 07:11:02,514 Priority -- Step: Begin Combat              ActivePlayer-PlayerA PriorityPlayer-PlayerA    =>[main] ComputerPlayer7.priorityPlay 
DEBUG 2017-09-30 07:11:02,515 Winner: Game is a draw                                                                     =>[main] CardTestPlayerAPIImpl.execute 
INFO  2017-09-30 07:11:02,515 Test has been executed. Execution time: 310 ms                                             =>[main] CardTestPlayerAPIImpl.execute 
INFO  2017-09-30 07:11:12,417 Cards need storing in DB: 9                                                                =>[main] CardScanner.scan 
DEBUG 2017-09-30 07:11:12,448 Starting MAGE tests                                                                        =>[main] MageTestPlayerBase.init 
DEBUG 2017-09-30 07:11:12,448 Logging level: null                                                                        =>[main] MageTestPlayerBase.init 
INFO  2017-09-30 07:11:12,715 Loading game type: mage.game.TwoPlayerMatch                                                =>[main] MageTestPlayerBase.loadGameType 
INFO  2017-09-30 07:11:12,717 Loading plugin: mage.game.TwoPlayerMatch                                                   =>[main] MageTestPlayerBase.loadPlugin 
DEBUG 2017-09-30 07:11:12,817 Loading deck...                                                                            =>[main] CardTestPlayerAPIImpl.createPlayer 
DEBUG 2017-09-30 07:11:12,933 Done!                                                                                      =>[main] CardTestPlayerAPIImpl.createPlayer 
DEBUG 2017-09-30 07:11:12,941 Loading deck...                                                                            =>[main] CardTestPlayerAPIImpl.createPlayer 
DEBUG 2017-09-30 07:11:13,010 Done!                                                                                      =>[main] CardTestPlayerAPIImpl.createPlayer 
DEBUG 2017-09-30 07:11:13,107 chooseTarget: Benefit:mage.target.TargetPlayer@7d332e20                                    =>[main] ComputerPlayer.choose 
DEBUG 2017-09-30 07:11:13,111 chooseMulligan                                                                             =>[main] ComputerPlayer.chooseMulligan 
INFO  2017-09-30 07:11:13,251 ======================= Turn: 1 [PlayerA] =========================================        =>[main] ComputerPlayer7.priorityPlay 
DEBUG 2017-09-30 07:11:13,251 Priority -- Step: Upkeep                    ActivePlayer-PlayerA PriorityPlayer-PlayerA    =>[main] ComputerPlayer7.priorityPlay 
DEBUG 2017-09-30 07:11:13,257 Priority -- Step: Precombat Main            ActivePlayer-PlayerA PriorityPlayer-PlayerA    =>[main] ComputerPlayer7.priorityPlay 
INFO  2017-09-30 07:11:13,258 [PlayerA], life = 20                                                                       =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:13,258 -> Hand: [Silvercoat Lion;Akroma's Vengeance;]                                             =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:13,260 -> Permanents: [Plains;Plains;Plains;Fluctuator;]                                          =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:13,260 [PlayerB], life = 20                                                                       =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:13,260 -> Hand: []                                                                                =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:13,260 -> Permanents: []                                                                          =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:13,261 Sim Calculate pre combat actions -----------------------------------------------------     =>[main] ComputerPlayer7.priorityPlay 
DEBUG 2017-09-30 07:11:13,265 Player..: 1925 - Plains[425] Plains[425] Plains[425] Fluctuator[650]                       =>[main] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,266 Opponent: 0 -                                                                              =>[main] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,266 1935 total Score (life:0 permanents:1925 hand:10)                                          =>[main] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,274 maxThink: 18 seconds                                                                       =>[main] ComputerPlayer6.addActionsTimed 
INFO  2017-09-30 07:11:13,290 ADDED ACTIONS (3)  [Cast Silvercoat Lion, Cycling {3} <i>({3},Discard this card: Draw a card.)</i>, Pass] =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:13,351 choose 3                                                                                   =>[pool-1-thread-1] ComputerPlayer.choose 
DEBUG 2017-09-30 07:11:13,391 Player..: 3285 - Plains[405] Plains[405] Plains[425] Fluctuator[650] Silvercoat Lion[1400]  =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,391 Opponent: 0 -                                                                              =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,392 3290 total Score (life:0 permanents:3285 hand:5)                                           =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,392 Sim Prio .....[5]#2 <3290> - (Pass)                                                        =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:13,392 Sim Prio ..[6]#1 <3290> - (Cast Silvercoat Lion)                                           =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
INFO  2017-09-30 07:11:13,393 Sim Prio [6] #1 <3290> (Cast Silvercoat Lion) -> [5][Pass]<3290>                           =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
INFO  2017-09-30 07:11:13,393 Sim Prio [6] -- Saved best node yet <3290> [Cast Silvercoat Lion]                          =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:13,395 choose 3                                                                                   =>[pool-1-thread-1] ComputerPlayer.choose 
DEBUG 2017-09-30 07:11:13,398 Player..: 1885 - Plains[425] Plains[405] Plains[405] Fluctuator[650]                       =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,399 Opponent: 0 -                                                                              =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,399 1890 total Score (life:0 permanents:1885 hand:5)                                           =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,408 ArtificialScoringSystem has been instantiated.                                             =>[pool-1-thread-1] ArtificialScoringSystem.<clinit> 
DEBUG 2017-09-30 07:11:13,411 Player..: 2310 - Plains[425] Plains[405] Plains[405] Fluctuator[650] Mountain[425]         =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,412 Opponent: 0 -                                                                              =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,412 2315 total Score (life:0 permanents:2310 hand:5)                                           =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,422 Player..: 3670 - Plains[405] Plains[405] Plains[405] Fluctuator[650] Mountain[405] Silvercoat Lion[1400]  =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,422 Opponent: 0 -                                                                              =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,422 3670 total Score (life:0 permanents:3670 hand:0)                                           =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,422 Sim Prio ...........[3]#1 <3670> - (Pass)                                                  =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:13,422 Sim Prio ........[4]#1 <3670> - (Cast Silvercoat Lion)                                     =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:13,424 Player..: 2310 - Plains[425] Plains[405] Plains[405] Fluctuator[650] Mountain[425]         =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,424 Opponent: 0 -                                                                              =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,424 2315 total Score (life:0 permanents:2310 hand:5)                                           =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,425 Sim Prio ........[4]#2 <2315> - (Pass)                                                     =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:13,425 Sim Prio .....[5]#1 <3670> - (Play Mountain)                                               =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:13,426 Player..: 1885 - Plains[425] Plains[405] Plains[405] Fluctuator[650]                       =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,426 Opponent: 0 -                                                                              =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,426 1895 total Score (life:0 permanents:1885 hand:10)                                          =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,427 Sim Prio .....[5]#2 <1895> - (Pass)                                                        =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:13,427 Sim Prio ..[6]#2 <3670> - (Cycling {3} <i>({3},Discard this card: Draw a card.)</i>)       =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
INFO  2017-09-30 07:11:13,427 Sim Prio [6] #2 <3670> (Cycling {3} <i>({3},Discard this card: Draw a card.)</i>) -> [5][Play Mountain]<3670> -> [4][Cast Silvercoat Lion]<3670> -> [3][Pass]<3670> =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
INFO  2017-09-30 07:11:13,427 Sim Prio [6] -- Saved best node yet <3670> [Cycling {3} <i>({3},Discard this card: Draw a card.)</i>] =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:13,428 Player..: 1925 - Plains[425] Plains[425] Plains[425] Fluctuator[650]                       =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,429 Opponent: 0 -                                                                              =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,429 1935 total Score (life:0 permanents:1925 hand:10)                                          =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,429 Sim Prio ..[6]#3 <1935> - (Pass)                                                           =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
INFO  2017-09-30 07:11:13,429 Sim Prio [6] #3 <1935> (Pass)                                                              =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
INFO  2017-09-30 07:11:13,429 Sim Prio [6] -- End for Max Depth  -- Nodes calculated: 10                                 =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
INFO  2017-09-30 07:11:13,430 ===> Act [PlayerA] Action: Cycling {3} <i>({3},Discard this card: Draw a card.)</i>        =>[main] ComputerPlayer6.act 
DEBUG 2017-09-30 07:11:13,431 choose 3                                                                                   =>[main] ComputerPlayer.choose 
DEBUG 2017-09-30 07:11:13,436 Priority -- Step: Precombat Main            ActivePlayer-PlayerA PriorityPlayer-PlayerA    =>[main] ComputerPlayer7.priorityPlay 
INFO  2017-09-30 07:11:13,436 [PlayerA], life = 20                                                                       =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:13,437 -> Hand: [Silvercoat Lion;Mountain;]                                                       =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:13,437 -> Permanents: [Plains(tapped);Plains(tapped);Plains(tapped);Fluctuator;]                  =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:13,437 [PlayerB], life = 20                                                                       =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:13,437 -> Hand: []                                                                                =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:13,438 -> Permanents: []                                                                          =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:13,438 Sim Calculate pre combat actions -----------------------------------------------------     =>[main] ComputerPlayer7.priorityPlay 
DEBUG 2017-09-30 07:11:13,438 Player..: 1865 - Plains[405] Plains[405] Plains[405] Fluctuator[650]                       =>[main] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,439 Opponent: 0 -                                                                              =>[main] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,439 1875 total Score (life:0 permanents:1865 hand:10)                                          =>[main] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:13,440 maxThink: 18 seconds                                                                       =>[main] ComputerPlayer6.addActionsTimed 
INFO  2017-09-30 07:11:13,441 ADDED ACTIONS (2)  [Play Mountain, Pass]                                                   =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
